"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
benefit,V,482,320,.,445,1.2875,9.17,9.14574,9.01089096,,
beside,F,296,416,.,.,1.954,7.223475,5.50572,5.49360864,,
best,A,241,.,.,324,3.1628,4.090317,4.42937,4.65290724,,
better,A,235,336,.,274,3.1628,5.017476,4.31195,4.566699,,
better,V,418,281,.,274,1.2862,5.017476,7.89326,7.68321096,,
betterness,N,542,176,.,.,-1.5539,9.738527,10.31994,10.36748856,,
between,F,286,418,.,.,2.8702,5.46507,5.31002,5.33398584,,
beyond,F,372,449,.,.,2.1601,6.31763,6.99304,6.80504336,,
bide,V,517,219,.,.,-0.1367,13.56,9.83069,9.78907956,,
big,A,155,.,.,463,2.5959,2.89,2.74635,3.520731,,
bigger,A,201,483,.,.,2.5959,#N/A,3.64657,4.09864004,,
binman,N,336,589,.,.,-1.5539,13.532419,6.28852,6.16217984,,
biochemistry,N,635,292,.,.,0.2648,13.94,12.13995,12.684219,,
biologist,N,590,397,.,.,0.6812,10.9,11.2593,11.530734,,
biology,N,551,.,.,441,1.0955,9.35,10.49607,10.58031804,,
birth,N,317,.,328,532,1.7995,5.21,5.91669,5.83860756,,
bison,N,471,.,.,541,0.4714,8.11,8.93047,8.77392764,,
bit,N,220,340,.,432,2.4231,6.47,4.0184,4.355916,,
black,N,208,.,.,589,1.7753,3.56,3.78356,4.19216256,,
blame,V,326,309,328,356,1.6683,6.48,6.09282,5.99052504,,
blew,V,265,.,.,404,1.9253,#N/A,4.89905,5.008569,,
blink,V,277,531,.,471,1.1381,5.63,5.13389,5.19289716,,
blue,N,206,.,.,569,1.4747,3.53,3.74442,4.16529144,,
blue tit,N,353,600,.,.,-1.5539,#N/A,6.62121,6.46089636,,
blush,V,385,578,378,551,1.0349,7.95,7.24745,7.046769,,
boa constrictor,N,519,569,.,.,-1.5539,#N/A,9.86983,9.83466044,,
boat,V,442,413,.,631,0.1089,3.84,8.36294,8.16665256,,
boil,V,294,550,.,533,1.6325,6.6,5.46658,5.46144344,,
Bolivia,N,604,354,.,.,0.2253,#N/A,11.53328,11.88306864,,
