Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,pos_new,icon_eng,freq_eng,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
defy,V,449.0,1.0546,4.84,1.46,19.0,5.43,2.18,21.0,verb,0.846153846,3.46,0.0,1.86,1.13,0.0,29.0,158.0
delight,N,432.0,1.4461,8.21,0.92,19.0,5.02,2.69,43.0,noun,0.692307692,3.9,0.0,2.3,1.18,0.0,30.0,288.0
delight,V,449.0,1.5388,8.21,0.92,19.0,5.02,2.69,43.0,noun,0.692307692,3.9,0.0,2.3,1.18,0.0,30.0,288.0
democracy,N,612.0,1.7497,6.16,2.57,19.0,5.05,2.48,22.0,noun,0.142857143,4.59,0.0,1.78,1.01,0.0,27.0,337.0
deny,V,410.0,1.816,3.81,1.72,21.0,5.63,2.39,19.0,verb,0.857142857,4.38,0.0,2.2,1.27,0.0,30.0,1091.0
despise,V,516.0,1.1604,3.08,1.58,39.0,4.77,2.22,22.0,verb,1.0,3.52,0.0,2.12,1.3,0.0,25.0,230.0
destroy,V,393.0,2.0167,2.67,2.3,18.0,5.16,2.85,45.0,verb,1.857142857,4.5,0.0,3.08,1.2,0.0,26.0,2406.0
die,V,286.0,2.3785,1.67,1.65,21.0,6.9,2.21,21.0,verb,0.333333333,5.13,0.0,3.07,1.62,0.0,30.0,13318.0
dig,V,230.0,1.6021,5.28,1.81,18.0,3.67,2.59,21.0,verb,0.636363636,4.22,0.0,4.33,1.0,0.0,27.0,2357.0
dirty,V,284.0,-0.0768,3.17,1.89,42.0,5.05,2.18,21.0,adjective,1.0,4.54,0.0,4.23,1.14,0.0,26.0,3389.0
disease,N,396.0,1.9352,1.68,0.89,19.0,5.5,2.31,20.0,noun,0.166666667,4.96,0.0,3.45,1.33,0.0,29.0,1335.0
dive,V,346.0,1.0993,5.81,1.44,21.0,3.79,2.78,24.0,verb,1.571428571,4.01,0.0,4.03,1.24,0.0,29.0,654.0
do,N,439.0,-0.7757,5.41,1.84,22.0,3.67,2.15,21.0,verb,0.846153846,6.4,0.0,2.46,1.57,0.0,28.0,312915.0
do,V,265.0,3.6541,5.41,1.84,22.0,3.67,2.15,21.0,verb,0.846153846,6.4,0.0,2.46,1.57,0.0,28.0,312915.0
doctor,N,241.0,2.2662,5.93,1.89,41.0,4.05,2.4,21.0,noun,1.6,4.95,0.0,4.69,0.81,0.0,29.0,13461.0
doctor,V,448.0,0.1274,5.93,1.89,41.0,4.05,2.4,21.0,noun,1.6,4.95,0.0,4.69,0.81,0.0,29.0,13461.0
dolphin,N,442.0,0.48,6.67,1.53,21.0,3.0,2.45,22.0,noun,0.181818182,3.64,0.0,4.96,0.19,0.0,28.0,141.0
donkey,N,235.0,1.152,6.29,1.45,17.0,2.9,1.89,20.0,noun,0.842105263,3.63,0.0,5.0,0.0,0.0,29.0,273.0
draw,V,222.0,2.3329,6.18,2.08,22.0,3.6,2.26,20.0,verb,0.2,4.83,0.0,3.97,1.1,0.0,30.0,2061.0
dream,N,275.0,1.887,7.43,1.8,21.0,4.37,2.81,43.0,noun,0.642857143,4.92,0.0,2.6,1.52,0.0,30.0,6798.0
dream,V,271.0,1.5745,7.43,1.8,21.0,4.37,2.81,43.0,noun,0.642857143,4.92,0.0,2.6,1.52,0.0,30.0,6798.0
dress,V,231.0,1.9136,6.42,2.14,19.0,4.73,2.44,45.0,noun,0.0,4.72,0.0,4.93,0.26,0.0,28.0,4447.0
drill,V,407.0,1.0673,4.73,2.1,22.0,5.11,2.13,19.0,noun,0.909090909,4.04,0.0,4.4,1.08,0.0,25.0,701.0
drink,N,166.0,2.0153,6.67,1.83,21.0,5.19,2.56,21.0,noun,1.0,4.91,0.0,4.76,0.69,0.0,29.0,12617.0
drive,V,330.0,2.1128,6.5,1.99,22.0,4.19,1.91,21.0,verb,0.230769231,5.11,0.0,3.86,1.21,0.0,28.0,7810.0
drop,V,231.0,2.1539,4.23,1.57,22.0,4.67,2.35,21.0,verb,1.071428571,4.96,0.0,4.21,1.32,0.0,28.0,6661.0
drum,V,319.0,0.7339,6.05,1.43,19.0,4.67,2.54,21.0,noun,3.181818182,4.08,0.0,4.96,0.19,0.0,28.0,432.0
dull,V,532.0,0.3906,3.4,0.94,20.0,1.67,1.03,18.0,adjective,1.615384615,3.95,0.0,2.37,1.22,0.0,30.0,616.0
